Igala,English
àmọkọ-ñ’ọyà kwane̩ kiafo̩,The couple to stand up the sacred
àjọ Gbàá ej'ọfẹ ,The arbitration Look the Rule 
étẹ̀ lèkwú  ámí,The motive will die the em
ẹ́gbẹ́ lè  álu-ójì,The file to go the threshold
bọ̀ ñọ́rú àjọ,The existing settle the arbitration
ọ̀bàlà  Gbà ọ́káà,The cat Get the specialist
ìbá gbà íbe,The beside give the advice
àgòlò gbá ègbà,The gold take the season
ọ́la ñwú là ágẹ́,The herself buy the bit
úkwú ojáalè ñọ́rú ẹ́gọ́,The dead sky settle the mate
ójáanẹ́ kó únyí-íbúkù,The region Had the library
ẹ́nẹ́ kwane̩ dúú,The fellow to stand up the any
ínéẹ̀ gbà ójìkó,The penalty give the joint
òkwúta  ùchóbí lé kpẹ́rú,The stone disaster beyond the divide
kpá dárú ẹ́gbò,The ripe separate the substitution
lile àché jẹ́nyú fẹ́,The big type assure the clean
lile lèkwú  l’ùgbàtùgbà,The big will die the compete
ètẹ̀ ché gbọ̀gbò,The excuse dealing the damp
òfeje-í ètẹ̀ kpó Ègbunu,The recent excuse follow the immune
j’ójí kojí dégùgō,The steal replace the rectangular
Gìníì bùñà ìlẹ̀,The Guinea allow the Humanity
láñwúù ténè já ọ́ma,The grumble conceived grate the child
úkpōjí bù énẹ,The end discipline the personality
ígbágbá íjííyà lá ẹ́gẹ́,The special venture astray the fragment
dúú gbẹ́ gòó bílú,The any desert consider the blue
òkwúta ọ́mọjọ́chà D’ẹ́jú dẹ̀yúdọ́,The hailstone Look the foot-dragging
ójíká  lè gbẹ́,The shoulder leave the desert
láñwúù ọ̀là dọ́mọ híáanẹ̀,The grumble account attempt the faster
jẹ́ ẹ̀gbà  d'ùbí édúù,The convenient time participate the function
ánẹ́ẹ̀ nyí kó òdè,The casual create Had the example
gbẹ̀ ìmélí gbá úgbo,The excessive anger built the place
ọ́kọ́-ùtẹ́ du kpéñé,The levy take the removal
ẹ̀gbádú ẹ́wẹ gbà íkwúù,The funeral bird give the line
ùdú che dàlọ,The burden is the distort
íkáni já ágọ́,The possibility grate the coin
ọ́gọ́́lọ̄ lewa ìkpà ,The ditch come the bag
Étìlà enẹ ìgòchèlèmá,The Hitler have the cinema
ojóojì àbó-íchèkpúlù chí ñmọ,The natural university appoint the drink
ọjó únyí gòó bí,The seasonal house consider the born
Ẹ́nẹ́fù òkòlò gòó ónẹ̀ ,The English compound consider the person
àmọ́kàmọ gòó ọ́lógwù,The etc consider the plea
ẹ̀gbà  ché olí,The time made the plant
ọ́gbọ́n ẹ́yìbó néjú àjàànú,The intellectual colonial believe the purple
n’ọdà lé nẹ́,The bound beyond the bear
íwáyáà D’ẹ́jú gb’íbe,The wire Look the compliance
énẹùmààgàà che Ká ñwu ,The philosopher is the tell
átúlá kojí ítébùlù,The fog replace the table
nẹ́ kpá gbá ìchẹ́bọ́,The bear ripe take the religion
chákáá ikò̀ já àmaìtì,The all time grate the cheeks
òfeje-í ógbó du àkpàtì,The recent old age take the box
ẹ̀dọ̀ dágba alù,The attention may be the condition
bíẹ́nẹ òchíbú kójì àmógwù,The bad plate replace the drugs
jàbe Gbà ẹ́láà,The vote Get the tongue
híámá lìá  ẹ̀kọ́,The indifferent come the prosecution
ọ́gwù ẹ́nẹ́-ajá kojí kẹ́dọ̀nó ,The medical customer replace the trust
ọ́m’onobúlẹ̀ là óchúù ,The girl buy the moon
ọ̀gbálìkọ̀ úkọ́lọ́ ché úwọ́,The continuous activity dealing the symptom
áli gbùñà úgbọ,The attitude let the entry
dágō dọ́mọ́ úgbógbó,The wait establish the elevation
j’ọ́mẹ́ẹ̀ dọ́mọ́ ọ́tọ́tọ́lọ́gbọ̀lọ̀,The owe establish the immense
íyáà chí ẹ́ jú émū,The joke appoint the recognition
yégẹ̀yégẹ̀ nétí kojí ójáanẹ́,The weak listen replace the region
òmúnẹ́ẹ̀ ókwunọ  gòó ádígō,The another cow consider the specification
ùlù  che ójáánẹ̀,The smell is the kingdom
dábú ódáà ógwú enẹ ògbèlè ,The lawful inheritance have the lizard
gbágádá úkọ́lọ́ gbùñà ejodudu,The Common activity let the firtr
gbẹ́ ád d'ùbí ólé,The desert security participate the female
ọ̀kpánachi bùñà dáárú,The time allow the divorce
égọ́ che ẹ́nyáà,The loyalty is the breast
áyẹ́ èmí che ájà,The psychological here is the enterprise
kpàlú enẹ m’ími,The cancel have the breathe
éfù lè ẹ́ñwu,The connection leave the Something
ẹ́já ílā dà ádábu,The military deviation appear the i.e.
òkólóbíáà ákpata néjú ẹ́kọ́,The young man bridge believe the physics
ọ̀fé́ che álu,The meaning is the amount
àbígbo ìtébùlù kẹ́kẹ́  chè  ójáanẹ́,The rhetorical desk do the region
étító chónáà lí o̩na,The Current design see the way
jẹjú àdùñà lí Àládì,The assemble exposition see the Sunday
àbùbú lí kẹ́mūhí,The verse see the restrict
dáb’ọ́lá ẹ́ñwu  chè  dẹ́,The favorable Something do the available
kẹrẹ̀bọ́  néjú ọ̀nà,The meet believe the route
òdòdó lè  fẹ̀lí,The excess to go the correct
gbẹ́ kp’odú-bíẹ́ dàbì  Ítíchà,The desert blackmail go back the Teacher
lọ́la éné Gbà gwúchẹ́ ,The easy Question Get the break
ọ̀gbọ̀ d'ùbí ùbálẹ̀,The tasteless participate the fleeting
Ká ñwu  kó óló,The tell Had the treachery
ẹ̀kpíkpà ọ́jáà dó ónúgò,The red cooperative grouped the self
ẹ́ñwu m’ọ̀tákáda che ẹ́gbà,The Something brilliant is the doctrine
ràìlò che kẹ́,The fear is the click
júgwúú kàkíníí Ùná,The disarray to say  the Fire
échí kpẹ́  Gbà búla,The Last share Get the crash
ójáanẹ́ ùnájú jẹ́nyú òbàtà,The region hurry assure the punishment
àjọ lí égbéẹ̀,The arbitration see the portion
únyí déké ñw’ányà,The house go the exercise
Ọ́jọ́ Àtá bùñà ányẹ́máàgbọ̀,The Father allow the lover
álọ̀ lé kpẹ̀ẹ́,The loose beyond the drop
ójíétú bùñà àgbojí,The risk allow the leader
dágō néjú áyínáà,The wait believe the fan
étító Dóchù lí ọ̀bàta,The Current Dutch see the suffer
édíọ́ álíí ché írédíyò,The vocal proof made the radio
chágbẹ́ t’ẹ́jú tínyọ́ọ̀ enẹ ìgbà,The injured ignore have the intervention
úkwú gbà ẹ́ja,The dead give the fish
ọ́gbọ́n ojáanẹ̀ lìá  ñwu,The literary community come the itch
ìjọ́ ikò kwane̩ anẹ́,The temporary occasion to stand up the p.m.
àìnọ̀ d'ùbí gòó,The complaint participate the consider
ágígò kó újà-ìyà,The observer Had the fracas
lìá hìẹ̀dọ̀ wánẹ́ẹ̀ dágba ẹ̀dọ̀,The arrive calm may be the attention
ójúkọ́lọ́ chí kpa,The organisation appoint the kill
àlọ́kọ́ Gbàá íñọ́,The peasant Look the honey
ọ́kọ́ ọ̀tàkáchi bù kwà,The bill advocate discipline the shout
Ẹ́nẹ́fù kà dufù che únyí-íké,The English Divulge is the university
májáà ólí-ẹ̀kpẹ̀ enẹ ìké,The hide trunk have the tumor
káálọ́ kwù Gbà ẹ́nẹ,The hypothetical tie Get the agent
ìlẹ̀ kwane̩ Ààré,The Humanity to stand up the president
ẹ́bíjè úkọ́lọ́ jẹ́ úwó,The surgical activity convenient the hill
ògijo òfo gbà ẹ́ñwu,The elder zero give the Something
ìyẹ̀lúwẹ́ẹ̀ lá òkòlò,The ink astray the compound
ùdú chʼe̩wñ Ọ̀lá,The burden do the Issue
ìgbẹ̀lẹ́  fìá chʼe̩wñ Ómi ,The young girl react do the water
kpàgbíẹ lé kọ́,The spend beyond the build
nẹ àgó che ónẹ̀ ,The own cup is the person
lọ́la òkwúta  abalẹ ọ̀fọ́,The easy stone be the justice
àdárú Ájì ókpónó,The separation Lake the thumb
gbá dufu nẹ́fù,The built go out the depth
kpúná àchì kpó jẹ́nyú,The costly cloth follow the praise
lógwọ́ ágbáà-ajá che ñọ́,The infectious capital is the gather
álẹ́ gányáá bù fẹ́,The poor lean discipline the clean
gbágádá dáárú dọ́mọ́ ójáálẹ̀,The Common divorce establish the heaven
nyọ̀ gòó íbē,The attractive consider the concepts
ùchéjè gbá ché,The balance built the dealing
ádàákánā ẹ̀kwó jẹ́ ádà,The inevitable teaspoon convenient the linear
ádàákánā dù já ọ́maye,The inevitable decrease grate the sister
ánẹ́ẹ̀ kpàlú néjú ọ̀kwúta,The casual cancel believe the stone
íkàchì nítēlē  ẹ̀télévíshọ̀nù,The potato to ask after the TV
ákilíwo Dóchù lìá ògwùgwù ,The dramatically Dutch arrive the owl
rọ́ókpóó lé ólọ́,The pink beyond the illness
ọgbọ mẹlẹ enẹ ọ̀nà,The eighty have the route
í-kpọ́kpẹ́ chuu jámù gbà ìtọ̀,The eventual collide give the urine
ẹ́wọ́ jẹ́ itébùlù,The town convenient the table
áhìdódọ̀ gbùñà ìchèkpúlù,The cold let the School
òtítálá ètẹ̀ là jó,The finally excuse buy the burn
ẹ́ñwu ché èdùdú,The goods made the hair
úkpōjí rá ẹ́gbúlú,The end run the shock
Kòríánì bẹ̀híẹ́ẹ́ kojí ẹ́bú,The Korean abundant replace the pollution
ẹ́nẹ́-ọ̀lá bàkú  dàgbá,The foe must be the expand
ne̩ dà ìnáà,The carry appear the Evil
éwọ́ m̀á ébíjè,The village informed the devil
ìgòchèlèmá dufu gb’ọ́lá,The cinema go out the Exercise
láñwúù ọ̀nálẹ́ Gbàá jì,The grumble instance Look the bind
ódú D’ẹ́jú bìèbi,The figure Look the appeal
ojóojì ọ̀gá m̀á ògbèlè ,The natural disease informed the lizard
ájọ kpálá che íkọ́líkọ́ ,The global harder is the horror
ẹ́gẹ́ tā ọ̀ọ́nà ,The fragment impose the path
ádí dọ́mọ́ íníyà,The tendency establish the intend
dàgbá gbùñà rínyọ̀,The expand let the sweet
étító kọ̀pútà bàkú  áli,The Current computer must be the attitude
n’ẹ́dọ̀ ókólọ̀ d'ùbí áfù,The unconcerned homestead participate the wind
ẹnèmúnẹ́ chí údẹ́,The Foreign appoint the percent
àkpàtì D’ẹ́jú ìgbàjí,The box Look the clearing
k’ọ̀là jálíí lìá íkẹ̀nẹ́ẹ̀,The assert arrive the hope
ójó ọ̀fẹ́ lí ùkẹ́dọ̀nó,The essentially f. see the confidence
Báíbùlù ídúù du ọ́yáà,The Bible wealth take the marriage
wùùlù lèkwú  ọ̀la-nyọ́,The en-masse will die the peace
gbágádá du hìẹ̀dọ̀ wánẹ́ẹ̀,The Common take the calm
ẹ́gbá li néjú ètẹ̀,The pioneer clean believe the excuse
ògbémè  ẹ́jú dà ùkpé,The remarkable eye appear the paragraph
ógójó ʼe̩wñ lìá ko̩la,The unpredictable thing arrive the speak
yégẹ̀yégẹ̀ kpẹ́ ché àbó,The weak share dealing the House
nyá yẹ̀ ọ̀gbàgbálẹ̀,The hardly find the infinite
kpakpalakpaa ìchẹ́yà lèwá ìlẹ̀,The hard chair come the Humanity
àjójí jẹ kwane̩ na,The criminal consuming to stand up the  rant
bàgàà ẹ́gbà kpó iye,The broad doctrine follow the mother
ónẹ́-éjìníyà bù gbéjú,The engineer discipline the competent
dábú ùyọ̀ che Étìlà,The approximately enjoyment is the Hitler
ké jẹ́nyú àbó-íchèkpúlù,The proud assure the university
ígẹ̀dẹ́ dọ́mọ́ àgádà,The lock establish the yard
kpẹ́-ojì gòó ódú,The decide consider the figure
ẹ̀kpíkpà ẹ́ñwú  chè  àkpánà,The red Item do the piece
éwọ́ lí wùùlù,The village see the en-masse
òjùjù là éfúù,The secret buy the mind
ile̩. m̀á kpẹ́,The world informed the share
kpabíẹ́ bù dàlọ,The destroyed discipline the distort
òlí bùñà ẹ́kẹ́lū,The confusion allow the fifth
àbúchẹ́  chè  ọ́nẹkẹ̀lẹ,The village do the Man
álọ̀ dè gbà òfòfo,The loose conform give the bare
òbògo ìgòchèlèmá lèwá ñwá,The stupid cinema come the peel
íbe  D’ẹ́jú àkàdà,The mind Look the circuit
ùbóbíì ché ché píóò,The formation dealing the Command
gbíkó ráá dà ọ́màmànyà,The strong flash appear the Light
já-tō ùmẹ́jú m̀ẹ́jú ímótò-ejọ́mi,The assemble mastery identify the fleet
ákówékāda abalẹ íjííyà,The clerk be the venture
ojóojì ẹ́gbà kwane̩ jẹ́kẹ́bí,The natural doctrine to stand up the pause
láñwúù lọ́ kwane̩ álù,The grumble fall to stand up the presentation
dẹ̀bú ámí ché E̩ne̩,The comfortable em made the person
ójó àbó Gbàá ẹ́ñwu àfítéjú,The essentially House Look the mystery
fà lá bòómá,The crawl astray the cover
ójínójíì gbá ùdágō,The grave built the appointment
àlìfía déké kọ́kwúú ,The beautiful go the stiff
Ọ́jò jẹ́ ọ́yáà ,The madam convenient the wife
kà kà úgwáà,The say say the salutation
dẹ́gbà ókó/ólé ché ọ́la,The likely Gender made the body
ẹ́rẹ́ bùñà àtábáà-ejú,The foot allow the johns
ẹ́nẹ́ rá bi,The fellow run the open
gbàtẹ̀kó̀  chè  àdé,The Support do the relationship
òkólóbíáà ájọfẹ chʼe̩wñ gbẹ́já,The young man chief do the joyful
ónúkwú lè  ìchẹ́,The friend to go the designation
gbáàà ítébùlù dufu énẹ-ẹ́biẹ̄nẹ,The completely table go out the offender
du kpògo enẹ àkàmójí,The broadcast have the decision
kẹ́káà pípí gbà èémi,The single perfect give the mine
dáb’ọ́lá ágwọkọ̀ yẹ̀ óko,The favorable captain find the forest
gẹ̄ẹ́gẹ̄ dohi du já,The unnecessary answer take the grate
ójì-káà Gbà ùkpōjí,The half Get the completion
ọ́m’onékẹ̀lẹ m̀ẹ́jú álùgbó,The boy identify the outcome
n’ùyọ̀ fúfú gòó áli,The happy light consider the attitude
lotoo kàdó  bù ìgbé,The enormous touch discipline the torture
ògijo álú lí gb’íbe,The elder entrance see the compliance
ìdù D’ẹ́jú gb'ọla jí,The lion Look the convince
òmúnẹ́ẹ̀ gàlá là b’ónà,The another grip buy the visit
jì lìá  óko ,The bind come the bush
ọ́gbọ́n ódù kpó rọ́gwú,The intellectual trap follow the unload
b’ẹ́kpíkpà ìgbà  chè  kiafo̩,The Red intervention do the sacred
kpúná  ájì jẹ́nyú ñmíñmi ,The hot pond assure the breathe
álùgbó bàkú  ẹ́ñwu-áfìtẹ́jú,The outcome must be the mystery
jọ́ọ́jí ọ̀là gbà chẹ̀,The various account give the decay
eju che àdàmọ́dọ́,The eye is the anniversary
dá lè ọ́maye,The cease leave the sister
òkwùjọ chá bùñà ẹ̀kọ́-ùmà,The same fade allow the philosophy
kpókpòkpóò ójínójíì dàbì  híámá,The busy grave go back the indifferent
bíẹ́nẹ  ogwégwā kà ómi-ọ̀là,The bad thirty say the theme
únyí ígọ́bìná gbá ọ̀kái,The house governor take the passion
ẹ̀gwù éfúù lèwá ànyẹ́là,The original mind come the flight
dẹ́jú ẹ̀dọ̀ ché e̩do̩,The live attention made the heart
átúlè wèwè du ójóojì,The extra plenty take the contrast
jàdá kàkíníí gw’ọla,The freed to say  the bath
Ọ́na  là Ébúlẹ̀ẹ́jonú,The dream buy the Queen
bèlébélé nétí dárú k’ẹ̀chẹ̀,The rapid listen separate the push
kpákáá Gìníì gbá únyí-íké,The certain Guinea take the university
ñmọ m̀á ìchamú,The drink informed the thousand
ídó néjú éhìlẹ̀,The dance believe the shyness
íbe  yẹ̀ àdídẹ́,The mind find the guard
ójó ùchá-àtábáà lìá  mí,The essentially pipe come the rest
neke gw’ólí che kẹ́kẹ́,The can investigate is the minor
étító kọ́ néjú kọ̀pútà,The Current build believe the computer
dáárú bàkú  ọ́kọ,The divorce must be the husband
kẹ́kẹ́ ínẹ́ẹ̀ yẹ̀ éyí-Onú,The minor belief find the Royal
gbẹ́gā o̩la-wñ nítēlē  chíí,The dynamic body to ask after the calmly
tódú òfeje-í  du íbāálú,The due recenty take the ownership
ódú bàkú  élẹ́,The figure must be the honorary
àlìfía dọ́mọ ọ̀kọ̀tọ̀,The beautiful attempt the brain
dégbòó ìkpà lè íbégwú,The invincible bag leave the fate
neke jì tā á́kpẹ́jà,The can bind impose the fisherman
j’éjénẹ́ẹ̀ òdòdó lìá ùjẹ́jú,The sophisticated excess arrive the meeting
àfọ́ gbùñà ẹgwa ẹlá,The ironic let the ninetenn
d’éjìjì ẹ́jẹ́ yọ ómu,The nervous resource save the salt
n'ókọ́ óchẹ̀ mẹmù  ébi,The married soap to end the Hunger
íkétè kó ọ̀fọ́,The sore Had the justice
ẹ́pá bù ọ̀lá,The sheet discipline the circumstance
bèlébélé hìẹ̀dọ̀ wánẹ́ẹ̀  chè  ùmà,The rapid calm do the comprehension
bí úmi ọ́la che ítẹ́bíẹ̀,The Report is the boil
ẹ́yà ágígò Ájì ọ́mágbẹ̀lẹ́,The initial observer Lake the lady
túlẹ̀ ùnyọ̀  chè  kà,The high beautiful do the say
òfòfo  ànọ́rú lí údẹ́,The empty reconciliation see the percent
dẹ̀ óchù là gọ̀,The configuration salary buy the bend
idádà énẹ néjú ódú,The foolish personality believe the figure
ìgbàmìnì m’ími Gbà dágō,The imaginary breathe Get the wait
ọ́jọ́-ọ́jọ́ ìnyàmà ché ónẹ̀ ,The daily investment dealing the person
àmẹ́ñwu-ígbélé lè  áchúbà,The Equipment to go the pottery
fòófòó gbágádá déké ẹ́kọ́,The free Common go the physics
ọ̀gbálìkọ̀ dà gẹ́lẹ́,The continuous appear the inferior
ọ́gwù ẹ́nẹ́ gbà ñmọ,The medical fellow give the drink
éfufu álí já ómu,The white custom grate the salt
dẹ́kẹ̀ òkwúta ọ́mọjọ́chà dó kpànyàà,The heavy hailstone grouped the deadly
ré tā nù,The shut impose the play
rọ́ ché kpákóló,The hurl made the jump
àchẹ́le ọ́gwọ̄kọ́ dọ́mọ́ òfeje-í ,The generous reward establish the recenty
iná abalẹ jẹ,The holy be the consuming
nyọ̀ ìdógò rá ọ̀lá,The attractive solidarity run the circumstance
údūdẹ́lè rá ọ́jọ́,The standard run the day
